Student_ID,Age,Gender,HighSchoolGPA,TestScore,CourseType,AttendanceRatio,StudyHabitsScore,ExtracurricularScore,AcademicPerformance
1,24,Female,3.23,352,Arts,0.81,0.26,0.02,Average
2,21,Male,3.25,490,Engineering,0.73,0.78,0.17,Poor
3,28,Male,2.96,341,Arts,0.61,0.13,0.38,Poor
4,25,Male,2.8,511,Arts,0.82,0.52,0.07,Good
5,22,Male,3.97,231,Arts,0.63,0.5,0.46,Good
6,24,Female,3.64,225,Engineering,0.92,0.14,0.29,Good
7,27,Female,2.87,454,Arts,0.64,0.99,0.36,Poor
8,20,Female,3.45,255,Science,0.77,0.82,0.94,Average
9,24,Female,2.54,492,Science,0.77,0.39,0.72,Average
10,28,Male,2.2,429,Arts,0.82,0.68,0.66,Poor
11,28,Male,2.7,252,Science,0.62,0.72,0.65,Poor
12,25,Male,2.81,300,Science,0.68,0.65,0.56,Average
13,22,Male,2.03,666,Engineering,0.68,0.43,0.51,Good
14,21,Female,3.63,466,Arts,0.84,0.89,0.88,Average
15,25,Male,2.72,201,Engineering,0.71,0.77,0.08,Poor
16,25,Female,3.16,221,Arts,0.66,0.54,0.29,Good
17,20,Male,2.15,777,Science,0.61,0.0,0.1,Good
18,23,Male,2.35,411,Engineering,0.94,0.22,0.01,Average
19,22,Male,3.78,435,Engineering,0.99,0.51,0.01,Good
20,19,Male,3.22,728,Science,0.88,0.9,0.02,Poor
21,25,Female,3.9,587,Science,0.77,0.63,0.68,Average
22,29,Female,4.0,213,Arts,0.65,0.42,0.11,Poor
23,23,Female,2.74,718,Arts,0.79,0.05,0.2,Poor
24,19,Female,2.6,421,Science,0.78,0.6,0.42,Poor
25,29,Male,3.72,602,Science,0.77,0.35,0.27,Average
26,22,Male,4.0,712,Engineering,0.75,0.54,0.82,Poor
27,18,Female,3.26,486,Engineering,0.8,0.77,0.62,Poor
28,29,Female,3.59,583,Arts,0.63,0.8,0.33,Good
29,27,Male,3.56,446,Engineering,0.62,0.86,0.32,Good
30,23,Male,2.71,290,Science,0.63,0.64,0.68,Poor
31,29,Female,3.15,511,Science,0.68,0.91,0.17,Good
32,26,Female,3.67,636,Science,0.71,0.69,0.28,Average
33,18,Female,3.38,242,Science,0.67,0.78,0.35,Good
34,28,Male,2.04,273,Arts,0.7,0.69,0.45,Average
35,28,Female,2.67,760,Science,0.67,0.87,0.19,Average
36,27,Female,2.29,515,Science,0.66,0.22,0.16,Good
37,29,Female,2.47,343,Science,0.72,0.76,0.99,Good
38,29,Female,3.81,528,Science,0.76,0.12,0.91,Average
39,20,Female,2.07,408,Arts,0.9,0.09,0.52,Poor
40,29,Male,2.44,298,Arts,0.98,0.49,0.77,Poor
41,24,Female,2.62,313,Engineering,0.97,0.3,0.67,Poor
42,21,Male,3.23,374,Arts,0.79,0.56,0.08,Poor
43,26,Female,3.07,470,Arts,0.78,0.68,0.52,Good
44,20,Female,2.44,262,Arts,0.65,0.23,0.18,Good
45,22,Female,2.33,603,Engineering,0.99,0.7,0.58,Average
46,20,Male,2.47,424,Science,0.9,1.0,0.06,Average
47,24,Male,3.01,360,Engineering,0.94,0.76,0.16,Poor
48,22,Male,2.54,235,Science,0.69,0.17,0.78,Average
49,26,Female,3.9,580,Arts,0.76,0.63,0.84,Good
50,24,Female,2.93,517,Science,0.64,0.01,0.91,Poor
51,19,Male,2.12,655,Engineering,0.98,0.47,0.9,Poor
52,21,Male,3.46,468,Science,0.71,0.53,0.91,Poor
53,26,Female,2.66,543,Science,0.84,0.97,0.09,Average
54,29,Male,3.31,239,Arts,0.66,0.74,0.66,Poor
55,19,Female,2.56,613,Science,0.92,0.71,0.7,Good
56,27,Male,3.14,579,Science,0.67,0.53,0.27,Poor
57,26,Male,3.54,421,Arts,0.92,0.51,0.99,Average
58,27,Male,3.86,480,Engineering,0.76,0.99,0.29,Average
59,22,Female,2.52,424,Arts,0.83,0.02,0.57,Poor
60,19,Female,2.67,656,Science,0.71,0.3,0.87,Poor
61,21,Male,2.93,353,Arts,0.95,0.13,0.29,Average
62,29,Female,3.85,479,Arts,0.9,0.31,0.61,Good
63,29,Female,3.8,552,Science,0.74,0.46,0.72,Good
64,24,Female,2.18,238,Engineering,0.83,0.34,0.63,Poor
65,29,Female,2.26,772,Arts,0.65,0.96,0.41,Poor
66,25,Male,2.99,688,Engineering,0.66,0.68,0.94,Poor
67,20,Female,2.21,397,Arts,0.81,0.73,0.61,Average
68,18,Female,2.69,475,Science,0.86,0.74,0.22,Average
69,21,Male,2.3,371,Science,0.82,0.9,0.81,Poor
70,19,Female,3.27,707,Arts,0.82,0.77,0.66,Average
71,25,Female,3.9,604,Arts,0.9,0.02,0.11,Average
72,21,Female,3.99,470,Arts,0.96,0.26,0.28,Good
73,19,Male,2.75,753,Science,0.76,0.99,0.16,Average
74,23,Male,3.2,330,Arts,0.81,0.65,0.07,Poor
75,23,Female,3.71,584,Science,0.96,0.07,0.23,Good
76,27,Female,2.23,596,Arts,0.79,0.47,0.28,Average
77,21,Male,3.38,765,Science,0.78,0.98,0.47,Good
78,23,Male,2.82,495,Arts,0.91,0.99,0.97,Average
79,19,Male,2.41,582,Engineering,0.95,0.43,0.94,Average
80,27,Female,2.81,711,Engineering,0.9,0.89,0.75,Good
81,29,Female,2.15,594,Science,0.64,0.59,0.65,Average
82,19,Male,3.39,753,Arts,0.79,0.51,0.95,Poor
83,27,Female,2.51,459,Engineering,0.68,0.41,0.14,Average
84,21,Female,2.62,480,Arts,0.73,0.89,0.33,Good
85,25,Female,2.24,555,Arts,0.79,0.62,0.55,Good
86,24,Female,3.73,619,Arts,0.69,0.33,0.81,Average
87,29,Female,2.99,391,Engineering,0.81,0.49,0.62,Poor
88,26,Female,3.14,627,Science,0.86,0.44,0.81,Average
89,25,Female,3.14,547,Engineering,0.95,0.45,0.15,Average
90,22,Male,2.82,628,Science,0.68,0.31,0.19,Average
91,19,Male,2.39,591,Engineering,0.72,0.63,0.74,Average
92,22,Male,3.49,540,Arts,0.76,0.05,0.35,Poor
93,25,Male,2.25,746,Arts,0.69,0.89,0.44,Average
94,27,Male,2.21,601,Arts,0.73,0.42,0.79,Poor
95,26,Male,3.42,246,Engineering,0.95,0.8,0.07,Average
96,29,Male,2.42,624,Engineering,0.66,0.73,0.17,Poor
97,29,Male,2.61,716,Science,0.78,0.47,0.3,Average
98,29,Male,2.95,527,Engineering,0.72,0.2,0.88,Good
99,26,Female,2.9,286,Science,0.63,0.56,0.4,Average
100,18,Female,3.42,714,Engineering,0.64,0.95,0.25,Average
101,26,Male,3.25,364,Arts,0.91,0.19,0.68,Good
102,24,Female,3.29,422,Engineering,0.94,0.26,0.03,Good
103,26,Female,3.43,496,Arts,0.9,0.99,0.78,Average
104,25,Male,2.59,650,Engineering,0.82,0.89,0.7,Poor
105,18,Male,2.64,542,Science,0.91,0.55,0.06,Good
